#{"t_start": 1708424537.4409866, "env_id": "None"}
r,l,t
0.0,201,0.060212
0.0,201,0.08469
0.0,201,0.106854
0.0,201,0.141922
0.0,201,0.165653
0.0,201,0.189265
0.0,201,0.211435
0.0,201,0.240923
0.0,201,0.262257
0.0,201,0.290251
0.0,201,0.311763
0.0,201,0.341346
0.0,201,0.363643
0.0,201,0.386096
0.0,201,0.408324
0.0,201,0.43112
0.0,201,0.463976
0.0,201,0.486956
0.0,201,0.51046
0.0,201,0.532701
0.0,201,0.562749
0.0,201,0.585996
0.0,201,0.608382
0.0,201,0.631239
0.0,201,0.693137
0.0,201,0.715072
0.0,201,0.738132
0.0,201,0.767266
0.0,201,0.790063
0.0,201,0.812659
0.0,201,0.836086
0.0,201,0.864553
0.0,201,0.887975
0.0,201,0.910411
0.0,201,0.933523
0.0,201,0.956379
0.0,201,0.986959
0.0,201,1.008882
0.0,201,1.032568
0.0,201,1.053968
0.0,201,1.08363
0.0,201,1.106208
0.0,201,1.128046
0.0,201,1.150722
0.0,201,1.17887
0.0,201,1.201772
0.0,201,1.224037
0.0,201,1.246762
0.0,201,1.270275
0.0,201,1.318165
0.0,201,1.342714
0.0,201,1.364573
0.0,201,1.394439
0.0,201,1.418602
0.0,201,1.442095
0.0,201,1.466563
0.0,201,1.495804
0.0,201,1.518787
0.0,201,1.543782
0.0,201,1.569834
0.0,201,1.602301
0.0,201,1.626649
0.0,201,1.649498
0.0,201,1.671483
0.0,201,1.700158
0.0,201,1.725418
0.0,201,1.749051
0.0,201,1.770273
0.0,201,1.793884
0.0,201,1.824022
0.0,201,1.846659
0.0,201,1.869584
0.0,201,1.891906
0.0,201,1.922852
0.0,201,1.963542
0.0,201,1.985821
0.0,201,2.016966
0.0,201,2.038994
0.0,201,2.060339
0.0,201,2.082374
0.0,201,2.104447
0.0,201,2.135539
0.0,201,2.157735
0.0,201,2.179355
0.0,201,2.201518
0.0,201,2.230107
0.0,201,2.251581
0.0,201,2.273053
0.0,201,2.296525
0.0,201,2.323864
0.0,201,2.346753
0.0,201,2.36848
0.0,201,2.39292
0.0,201,2.416036
0.0,201,2.447562
0.0,201,2.473036
0.0,201,2.49791
0.0,201,2.522968
0.0,201,2.554263
0.0,201,2.593723
0.0,201,2.617414
0.0,201,2.649985
0.0,201,2.673033
0.0,201,2.698626
0.0,201,2.722856
0.0,201,2.757185
0.0,201,2.788535
0.0,201,2.810022
0.0,201,2.832707
0.0,201,2.863322
0.0,201,2.884269
0.0,201,2.90732
0.0,201,2.929979
0.0,201,2.956854
0.0,201,2.979114
100.0,3,2.98025
0.0,201,3.001978
0.0,201,3.022792
100.0,1,3.023833
0.0,201,3.049323
0.0,201,3.071899
0.0,201,3.092859
0.0,201,3.116297
0.0,201,3.137281
0.0,201,3.165034
0.0,201,3.186006
0.0,201,3.236244
0.0,201,3.267381
0.0,201,3.288961
0.0,201,3.310801
0.0,201,3.3328
0.0,201,3.355138
0.0,201,3.384738
0.0,201,3.407087
0.0,201,3.429386
0.0,201,3.451155
0.0,201,3.481745
0.0,201,3.50884
0.0,201,3.533436
0.0,201,3.556553
0.0,201,3.589266
0.0,201,3.611615
0.0,201,3.633086
